label,triplet,sentence,verb_id,object_id,object_text,count,train_count,eval_count,in_train
152,"(72, 3)",a photo of a person racing a motorcycle,72,3,a photo of a motorcycle,442,442,0,True
153,"(76, 3)",a photo of a person riding a motorcycle,76,3,a photo of a motorcycle,1325,1325,0,True
154,"(87, 3)",a photo of a person sitting on a motorcycle,87,3,a photo of a motorcycle,1628,1628,0,True
155,"(98, 3)",a photo of a person straddling a motorcycle,98,3,a photo of a motorcycle,1523,1523,0,True
223,"(57, 46)",a photo of a person and a banana,57,46,a photo of a banana,315,315,0,True
64,"(57, 5)",a photo of a person and a bus,57,5,a photo of a bus,211,211,0,True
47,"(20, 39)",a photo of a person drinking with a bottle,20,39,a photo of a bottle,158,158,0,True
48,"(36, 39)",a photo of a person holding a bottle,36,39,a photo of a bottle,527,527,0,True
241,"(87, 59)",a photo of a person sitting on a bed,87,59,a photo of a bed,150,150,0,True
577,"(36, 25)",a photo of a person holding a umbrella,36,25,a photo of a umbrella,1389,1389,0,True
582,"(94, 25)",a photo of a person standing under a umbrella,94,25,a photo of a umbrella,1181,1181,0,True
428,"(57, 53)",a photo of a person and a pizza,57,53,a photo of a pizza,107,107,0,True
558,"(6, 79)",a photo of a person brushing with a toothbrush,6,79,a photo of a toothbrush,226,226,0,True
559,"(36, 79)",a photo of a person holding a toothbrush,36,79,a photo of a toothbrush,313,313,0,True
570,"(52, 7)",a photo of a person loading a truck,52,7,a photo of a truck,107,107,0,True
131,"(36, 17)",a photo of a person holding a horse,36,17,a photo of a horse,795,795,0,True
139,"(76, 17)",a photo of a person riding a horse,76,17,a photo of a horse,1484,1484,0,True
141,"(98, 17)",a photo of a person straddling a horse,98,17,a photo of a horse,1141,1141,0,True
212,"(114, 24)",a photo of a person wearing a backpack,114,24,a photo of a backpack,982,982,0,True
275,"(15, 51)",a photo of a person cutting a carrot,15,51,a photo of a carrot,26,26,0,True
11,"(36, 1)",a photo of a person holding a bicycle,36,1,a photo of a bicycle,1914,1912,2,True
